Rank,Feature_Column,Feature_Name,Std_Coef,Abs_Std_Coef,Importance_Pct,Effect_Size,Sign_Consistency,Stability,Reliability,Odds_Ratio_per_1SD,Direction,Plain_English
1,pdo_d,PDO (shooting + save luck proxy),0.3105342150053214,0.3105342150053214,14.682365465935437,Strong,1.0,High,High confidence directional signal,1.3641536708724242,supports home team,"A home edge on PDO (shooting + save luck proxy) usually increases home win probability (importance 14.7%, stability high)."
2,close_wp_d,close-game win percentage,-0.2284799576714173,0.2284799576714173,10.802758852565477,Moderate,1.0,High,High confidence directional signal,0.7957422455722157,supports away team,"A home edge on close-game win percentage usually decreases home win probability (importance 10.8%, stability high)."
3,wp_d,win percentage,0.2016324880261814,0.2016324880261814,9.533383878344983,Moderate,1.0,High,High confidence directional signal,1.223398311953666,supports home team,"A home edge on win percentage usually increases home win probability (importance 9.5%, stability high)."
4,elo_d,pregame Elo rating,-0.1793011428700626,0.1793011428700626,8.477535746046696,Moderate,0.75,Medium,"Useful, but monitor fold-to-fold drift",0.8358541499749891,supports away team,"A home edge on pregame Elo rating usually decreases home win probability (importance 8.5%, stability medium)."
5,roll_xGF_d,rolling xGF (20 games),0.1663876155560735,0.1663876155560735,7.866971375627553,Moderate,0.5,Low,"Treat as context only, not a primary driver",1.1810307989221325,supports home team,"A home edge on rolling xGF (20 games) usually increases home win probability (importance 7.9%, stability low)."
6,xg_rest_interaction_d,xG trend x rest interaction,0.1347353077784186,0.1347353077784186,6.370418892276125,Light,0.5,Low,"Treat as context only, not a primary driver",1.1442338744578977,supports home team,"A home edge on xG trend x rest interaction usually increases home win probability (importance 6.4%, stability low)."
7,shelter_d,shelter index,-0.1212580133089301,0.1212580133089301,5.733199051977143,Light,1.0,High,Supportive secondary signal,0.885805380528625,supports away team,"A home edge on shelter index usually decreases home win probability (importance 5.7%, stability high)."
8,form_5_d,recent form (last 5 games),-0.1157036894782782,0.1157036894782782,5.47058511619429,Light,1.0,High,Supportive secondary signal,0.8907391195711586,supports away team,"A home edge on recent form (last 5 games) usually decreases home win probability (importance 5.5%, stability high)."
9,roll_xGA_d,rolling xGA (20 games),-0.1102303907561163,0.1102303907561163,5.211802127847448,Light,0.5,Low,"Treat as context only, not a primary driver",0.8956277671663101,supports away team,"A home edge on rolling xGA (20 games) usually decreases home win probability (importance 5.2%, stability low)."
10,rest_d,rest proxy,-0.080563407879368,0.080563407879368,3.809117773530474,Light,1.0,High,Supportive secondary signal,0.922596401847687,supports away team,"A home edge on rest proxy usually decreases home win probability (importance 3.8%, stability high)."
11,ev_pct_d,even-strength xG share,0.0780001273568679,0.0780001273568679,3.6879233298766088,Light,0.5,Low,"Treat as context only, not a primary driver",1.0811227963584875,supports home team,"A home edge on even-strength xG share usually increases home win probability (importance 3.7%, stability low)."
12,pp60_d,power-play xG per 60,-0.0735056810267589,0.0735056810267589,3.475421452798228,Light,0.25,Low,"Treat as context only, not a primary driver",0.9291308673592058,supports away team,"A home edge on power-play xG per 60 usually decreases home win probability (importance 3.5%, stability low)."
13,pk60_d,penalty-kill xGA per 60,-0.0602928858672233,0.0602928858672233,2.8507074020276195,Light,0.5,Low,"Treat as context only, not a primary driver",0.9414887444514508,supports away team,"A home edge on penalty-kill xGA per 60 usually decreases home win probability (importance 2.9%, stability low)."
14,pyth_d,pythagorean win expectation,0.0519029951597691,0.0519029951597691,2.454025053887702,Light,1.0,High,Supportive secondary signal,1.0532735649236995,supports home team,"A home edge on pythagorean win expectation usually increases home win probability (importance 2.5%, stability high)."
15,corsi60_d,corsi differential per 60,-0.0470751970447039,0.0470751970447039,2.2257619740208763,Light,0.25,Low,"Treat as context only, not a primary driver",0.9540156557351046,supports away team,"A home edge on corsi differential per 60 usually decreases home win probability (importance 2.2%, stability low)."
16,xGF60_d,expected goals for per 60,-0.0470557925847605,0.0470557925847605,2.224844511922366,Light,0.25,Low,"Treat as context only, not a primary driver",0.954034168073292,supports away team,"A home edge on expected goals for per 60 usually decreases home win probability (importance 2.2%, stability low)."
17,xG_diff_d,cumulative expected-goals differential,0.0270167741726037,0.0270167741726037,1.2773798600776305,Light,0.5,Low,"Treat as context only, not a primary driver",1.027385036152878,supports home team,"A home edge on cumulative expected-goals differential usually increases home win probability (importance 1.3%, stability low)."
18,xGA60_d,expected goals against per 60,-0.0245831873979643,0.0245831873979643,1.1623174653662744,Light,1.0,High,Supportive secondary signal,0.9757165182239628,supports away team,"A home edge on expected goals against per 60 usually decreases home win probability (importance 1.2%, stability high)."
19,disp_d,offensive line disparity ratio,-0.0223406518451303,0.0223406518451303,1.0562881617789135,Light,1.0,High,Supportive secondary signal,0.9779070524630128,supports away team,"A home edge on offensive line disparity ratio usually decreases home win probability (importance 1.1%, stability high)."
20,roll_win_d,rolling win rate (20 games),0.0193134300249151,0.0193134300249151,0.9131581137418786,Light,0.25,Low,"Treat as context only, not a primary driver",1.0195011408135353,supports home team,"A home edge on rolling win rate (20 games) usually increases home win probability (importance 0.9%, stability low)."
21,elo_form_interaction_d,Elo x recent-form interaction,0.0113966047901396,0.0113966047901396,0.538842770020666,Light,1.0,High,Supportive secondary signal,1.0114617934984564,supports home team,"A home edge on Elo x recent-form interaction usually increases home win probability (importance 0.5%, stability high)."
22,special_teams_net_d,power-play minus penalty-kill net rate,-0.002391318233746,0.002391318233746,0.1130638962042001,Light,0.5,Low,"Treat as context only, not a primary driver",0.9976115386899764,supports away team,"A home edge on power-play minus penalty-kill net rate usually decreases home win probability (importance 0.1%, stability low)."
23,sos_d,strength of schedule,0.0013140106931686,0.0013140106931686,0.0621277279314261,Light,0.25,Low,"Treat as context only, not a primary driver",1.0013148743834777,supports home team,"A home edge on strength of schedule usually increases home win probability (importance 0.1%, stability low)."
